label,text
0,"Que je l'ai réveillé ne veut pas dire que je l'ai bien, la beauté était énorme"
0,Je n'ai personne à accrocher avec
0,Peut-être ai-je peur de l'obscurité. Je ne peux pas sembler dormir jusqu'à ce que le soleil arrive
0,Les pâtes sont au travail alors que le riz prend un test de mathématiques
0,sur mon chemin pour aller au travail
0,N'est pas prêt à rentrer à la maison et à être éloigné de lui à nouveau! Je l'aime et le manque tellement!
0,Naku waterloo ko ang math! Ne peut pas vous aider là-bas
0,Il n'y avait absolument aucun intérêt à venir en classe aujourd'hui - je pourrais dormir
0,Bhala uska vert vert vert vert vert kaisa ... blagues à part ... je suis très préoccupé par les développements à l'iran
0,"D'accord, j'ai pensé que les heawas étaient difficiles, j'ai abandonné et commencé les poumons ... mais cédant aussi je pense que haha"
0,"Jésus, j'étais heureuse demain. Quel changement étrange d'avoir autant de temps libre qu'un élève fait. Meh."
0,o Oui. Elle m'a envoyé un voyage de culpabilité. Alors elle l'a dépassé.
0,Quelle belle journée et j'ai coincé au nettoyage à la maison
0,"Fille, vous ne m'avez pas appelé j. Mac"
0,"Ugh ... j'ai eu un bon week-end, mais je suis épuisé. Je pense que je deviens malade, et tout ce que je veux faire, c'est aller à la maison et boucler dans le lit."
0,"Ce que je voulais dire, c'est que votre photo ne s'affiche plus."
0,"Vous avez une télévision chic. Mais il y a un joli pendentif en zircone cubique pour 37,91 un canal."
0,Feeel .... soo ..... malade! Va essayer et dormir sur xx
0,Nous avons perdu le jeu pas de championnat 4 nous
0,L'Afrique du Sud est maintenant officiellement également en récession.
0,Pourquoi je me sens si malade? Va s'allonger un peu.
0,Terminer des choses que je n'ai pas parlé hier
0,Uggghhhhhhhhh !!!!!! ... j'ai dû laisser ça pour vous. C'est le shi-tee. Awwww ho ... x56
0,Ne pense pas comme ça
0,mec. La révolte jacob entière de Locke s'est révélée tomber. Baaaaaw. Je veux plus d'épisodes
0,Cette vidéo Twitter ne fonctionne pas pour moi
0,"Je vais m'habituer à dormir dans vos bras, et je ne voudrai jamais que vous partez. : [Je sais que tu le feras car je ronfle lmao"
0,Aj dit que j'ai des cuisses épaisses. Connard!
0,J'ai complètement perdu ma voix.
0,Je veux bien voir les transformateurs 2! Je suis tellement déçu que je n'arriverai pas jusqu'à 2 semaines
0,"J'espère que vous vous sentirez mieux et que vous allez chez le médecin! Je parie que havaa était une explosion, je suis si jalouse. Les images sont magnifiques."
0,"Eh bien, qu'est-ce que je recherche sous"
0,J'avais du pourgouri ... je pense qu'un bâton de cannelle était le coupable
0,Mais il a effacé chaque centime que j'avais gagné lol. Saucisse battue s'il vous plaît!
0,Et twitter fox tooooo oh snap je suis un novice twitter
0,Veut acheter un nouveau téléphone sooooooooooon
0,Haine couché seul
0,"Je manque les classiques. Je manque également une véritable université, cause sérieusement, tcol n'est pas un véritable universitaire."
0,Impossible de charger ma photo.
0,Comment vont les nouveaux thèmes? J'ai eu du mal à trouver du temps libre pour faire des thèmes récemment
0,Essayant de comprendre cette chose ...
0,Je suis surchargé!
0,Oh mon Dieu! J'ai mal dormi ce soir ... Je viens de me réveiller et je pense à ce que je devrais faire aujourd'hui ... Le soleil se cache de moi
0,Assis à la maison - seul et un peu ennuyé. Ne pas attendre avec impatience la stag autre semaine et plus de classes allemandes
0,Je reprends ça sur mon plus jeune. A reçu un email par courrier électronique au dernier tweet qu'il est susceptible de répéter l'anglais l'année prochaine. Pas de licence? Tu me dis.
0,Mon slim a besoin de plus de borax + colle.
0,Celui-là et le mia sont les seuls à me rappeler du sommet de ma tête. Je ne l'ai pas aimé beaucoup. décevant.
0,Trop de boire ... pas cool.
0,Ne veulent pas être au travail
0,Le feu freisan et les quartiers généraux sont mes choix pour le derby. Est-ce que quelqu'un m'a demandé qui j'aime? non. Est-ce que j'ai parié aujourd'hui? non. Odeurs
0,"Je ne pense pas qu'ils viennent à la maison à la maison, c'est effrayant ici, comment est la musique isaac et daves ce soir? Plus viva la vida"
0,"bonne nuit! À l'heure actuelle 2mrw, nous serons loin l'un de l'autre!"
0,"Je me manque Boston, continuez-nous à nous écrire!"
0,Vous savez que nous pensons que nous allons vous voir dimanche! réunion
0,"je connais!!! Je veux trop mal, mais je sais que je dois le garder dans la maison"
0,"A oublié de mettre au frigo en sortant aujourd'hui, ce sera une soirée soif"
0,"Le baby-sitting n'était pas trop mal ce soir, toujours épuisé par la pizza à la croûte de moule mmm"
0,"Rapport de blessure: la hanche gauche et le genou sont douloureux, l'aine est douloureuse, l'épaule droite tendue, les douleurs du coude gauche, et les deux poignets fissurent"
0,"J'ai un examen maintenant. Le seul problème, c'est que je n'ai pas encore commencé à étudier."
0,Ils n'ont pas
0,: Envoyé à la maison du travail pour être malade
0,"J'ai été reprogrammé, encore mercredi à 11h."
0,"Vient d'avoir de nouveaux pneus, & amp; Maintenant, je pense que mon essieu arrière est sur le point de se faufiler !! Trop en colère pour manger le dîner maintenant"
0,+ J'aurais souhaité avoir assisté à e3!
0,"Va aider mon frère avec son déménagement aujourd'hui jusqu'à présent, je suis en retard"
0,Malade et épuisé
0,"quelle?! C'est triste, je veux dire que vous êtes malade! Il faut bien s'arranger. Moi aussi, je ne me sens pas bien, je ne le ferais pas non plus. mais je..."
0,maison. enfin!!! Reposant pendant 2 jours. Ma hanche a besoin de la pause !!! Je ne peux pas croire
