label,text
1,Lorsque vous ajoutez le jour 2 xx
1,J'aime ta façon de penser.
1,J'espère que vous passerez un bon jour de congé! Désolé pour l'Australie je t'ai jeté un boomerang si tu viens me voir xoxoxoxo
1,"Aujourd'hui ... l'oasis était là * drools * - dans la salle de gym- drôle comment, quand mon frère arrive, la télévision cesse de fonctionner & amp; Je dois le regarder toute la journée heh"
1,J'étais juste au magasin de cupcakes aux miettes et n'en ai pas eu un! Si fier de moi-même! Ce sont mes faiblesses.
1,Un examen final sur le chemin ... merde! J'espère que je passe celui-ci ...
1,"Va lire au lit, je dois terminer la nuit des tweeters!"
1,Déjeuner et ensuite aller étudier puis monter dans mon cheval puis aller étudier puis dîner puis me coucher
1,goin' to sleep.. church tomorrow &amp; dm aussi!!  (l)
1,Est en train de dormir dans la maison de mon père
1,Je veux voir plus.
1,Réveille toi un café! Bonne matinée! Ly!
1,Hey l'idolienne latino-américaine cette année est-elle plus massive veut aller avec moi?
1,J'aime moi quelques shane et michele et j'ai hâte de les voir !!!
1,Qu'est-ce qui fait aujourd'hui?
1,Reprendre et aller à la madame. Les crêpes de kaur avec quelques frnds ... planifiant pour attraper des anges et amp; Spectacle de la fin de la nuit des démons après Tht
1,Je viens de tweeter mon professeur de sciences
1,Regardez le terminator 1-3 à la maison et ensuite le terminator 4 au cinéma !! ré:
1,- London eye from waterloo. Presque à la maison maintenant
1,Alan carr bavard
1,Je suppose que je suis de l'autre côté ... ahahah
1,"- heyy, il n'a pas posté mon commentaire! J'ai dit que j'adore quand tu viens me voir, je t'ennuie ahh luv! Ping"
1,"Oui, ce sont les meilleurs"
1,"Se détendre, aime avoir un petit jour clé."
1,"De retour au travail, devrait être un bon jour doux"
1,Je me suis arraché lorsque tu continuais à te mettre le pied dans le visage. Vous avez vraiment canalisé votre dork intérieur.
1,"Et hey, j'ai gagné le concours avec zora"
1,"Oui oui! Et hindi ko na kelangan magbukas ng bagong tab. Kaya, je peux tweeter et naviguer sur le net en même temps"
1,Complété pour faire la liste avec beaucoup de temps avant 12h30 finir
1,À la cafétéria en attente de
